descripcion,precio,titulo
"['Marca: CAMYOD', 'Material: Cuero sintético', 'Talla: S', 'Deporte: Snowboarding', 'Rango de edad (descripción): Adult', 'Color: Gris oscuro', 'Orientación de la mano: Ambidextrous', 'Cantidad por paquete: 1', 'Tipo de cierre: Hebilla', 'Material de buena calidad.', 'Tejido de nailon de alta calidad con revestimiento impermeable de PU transpirable y capa exterior repelente al agua para mantener tus manos secas; 1.41 oz 3M Thinsulate y Polyfill entreline; Membrana impermeable.', 'Calidez extra', 'Super cálido 3M Thinsulate, membrana impermeable funciona juntas para mantener las manos en un calor extremo.', 'Diseño perfecto.', 'Hilo de coser simple pero agradable en la parte posterior, orificio de ventilación de aire en la parte posterior de la mano, bolsillo con cremallera, todos estos guantes combinados son súper cálidos y de moda.', 'Sensación cómoda.', 'Todos los materiales son respetuosos con la piel, probados por SGS. 1.41 oz 3M Thinsulate y Polyfill interlining hace que los guantes sean suaves y cómodos; las capas que absorben la humedad mantienen tus manos libres de sudor.', 'USO', 'Esquí, patinaje, carreras de invierno, ciclismo de invierno, ciclismo de invierno, senderismo de invierno, invierno correr, escalada de montaña y otros deportes de invierno al aire libre.', 'Garantía del vendedor: 6 meses']",['65'],['Guantes Impermeables Alta Montaña 3m']
"['------------------------------------------------------------------------------------------', 'IMPORTADORA MEELTECH STORE', '- Lideres en envíos a todo el Ecuador', '- Importadores directos con los precios mas bajos', '- El 95% de nuestros clientes satisfechos', '- Mas de 7 años en el mercado', '- 11 Locales en todo el Ecuador', '------------------------------------------------------------------------------------------', 'DESCRIPCION DEL PRODUCTO', '------------------------------------------------------------------------------------------', 'Máquina de Boxeo de Pared Musical Artes Marciales Percepción Mejorada.', 'Descripción', 'EMBALAJE: Usted recibirá 1 máquina de boxeo de música, 1 par de guantes de boxeo, 1 cable de carga, 1 juego de accesorios de instalación y 1 manual.', 'MATERIAL: La máquina de boxeo está hecha de cuero PU de alta calidad, duradero y estable para un uso prolongado.', 'Rendimiento deportivo: como ejercicios de boxeo, puñetazos, ejercitar la coordinación mano-ojo. Puede mejorar la reacción, el ataque, la fuerza y la resistencia.', 'FÁCIL DE INSTALAR: La alfombrilla de entrenamiento de boxeo soporta conectividad inteligente, puede comprobar los datos en cualquier momento. La alfombrilla de entrenamiento de boxeo se puede ajustar e instalar según la altura de adultos o niños. MUY', 'USOS: Ideal para boxeo, calistenia, aeróbic y competiciones de boxeo. Con la alfombrilla de boxeo, convertirás tu entrenamiento en un hábito.', 'Especificación', 'Material: cuero PU', 'Tamaño de la máquina: 40 cm x 40 cm x 7,5 cm / 15,75 pulgadas x 15,75 pulgadas x 2,95 pulgadas', 'Tamaño del guante: 26 cm x 13 cm x 13 cm / 10,24 pulgadas x 5,12 pulgadas', 'Lista de embalaje', '1 juego de máquina de boxeo', '1 par de guantes de boxeo para adultos', '1 manual en inglés', '------------------------------------------------------------------------------------------', '* Precio sujeto a cambio sin previo aviso.', '* Colores y modelo puede variar según el stock.', '------------------------------------------------------------------------------------------', '1. Da click en el botón comprar.', '2. Escríbenos directamente.', '3. Acordar la forma de pago y envío.', '4. Reciba su compra en su domicilio o visite nuestros locales.', 'GRACIAS POR ELEGIRNOS']",['95'],['Máquina De Boxeo Inteligente Con Parlante Y Guantes Incluido']
"['- Somos TIENDA FÍSICA ! GADGET STORE EC ! Recuerda buscarnos para ofrecerte los mejores precios', '- Autorizados de la marca con garantía y factura, precios incluyen IVA !', '- Estamos ubicados por sector Quicentro Norte / Carolina', '- Horarios de atención: Lunes a Sábado', 'El nuevo intercomunicador LEXIN ET-COM emplea nueva tecnología que brinda una mejor experiencia mientras vas en tu motocicleta. Con un intercomunicador adicional.', 'DIY intercomunicador color', 'Cambia el color del intercomunicador según el color de tu casco o motocicleta.', 'Bluetooth v5.0', 'Conexión más rápida y estable.', 'Empareja tu dispositivo Bluetooth con LX-ET COM', 'Admite teléfonos móviles, GPS y otros dispositivos bluetooth para conectar y usar. Escucha música a través de la característica manos libres o escucha las indicaciones que brinda el GPS.', 'Compatible con otras marcas/modelos de intercomunicadores', 'Trabajar con un intercomunicador modelo al mismo tiempo.', 'Radio FM integrada', 'Disfruta de la radio FM en tu viaje.', 'Soporta conexión de 2 intercomunicadores en un rango de intercomunicación 1200 metros', 'Reducción de ruido de actualización', 'Disfruta de un sonido claro incluso a alta velocidad', 'Duración de la batería mejorada de 800mAh', 'Tiempo en espera: 300H', 'Tiempo de Trabajo: 15H', 'Tiempo de carga: 2,5 H', 'Activa Siri o s-voice', 'Marcación por voz a través de siri o S-voice, también incluye la característica de rellamada al último número', 'IP67 resistente al agua', 'Maneja cualquier condición climática, llueva o haga sol.', 'Carga rápida USB tipo C', '2.5 Horas tiempo de carga', 'Con todo tipo de cascos', 'Viene con micrófono de 2 tipos para asegurar la compatibilidad con cualquier casco:', 'Micrófono de casco integral', '- Micrófono de casco modular y de cara abierta', '*El paquete consta de 2 intercomunicadores*', 'Especificaciones:', '- Número máximo de altavoces: 2', '- Capacidad de la Batería: 800mAh', '- Bluetooth version: 5.0', '- Distancia de intercomunicación máxima: >1.000 m', '- Origen: CN (origen)', '- Tipo de artículo: Auriculares para cascos', '- Función Especial: FM', '- Función Especial: Control por voz', '- Función Especial: Función Universal de Emparejamiento', '- Función Especial: Impermeable', '- Función Especial: Reducción de ruido', '- Peso del artículo: 0.3kg', '- Dimensiones: 5.08cm x 12.7cm', '- Prestaciones: DIY Color rojo, azul, verde, amarillo y plateado.', '- Nombre del Modelo: LEXIN ET COM', '- Certificación de pruebas externas: FCC', '- Modo de fuente de Alimentación: Batería incorporada', '- Aplicable Tipo De Casco: Medio casco', '- Aplicable Tipo De Casco: MODULAR', '- Aplicable Tipo De Casco: Motocross', '- Aplicable Tipo De Casco: Cara abierta', '- Aplicable Tipo De Casco: Cara completa', '- Aplicable Tipo De Casco: Levante Casco', '- Aplicable Tipo De Casco: Universal', '- Modo de conexión: Bluetooth', '- Longitud del artículo: 9.5inch', '- Color: Negro', '- Water resistant: IP67', '- Somos TIENDA FÍSICA ! GADGET STORE EC ! Recuerda buscarnos para ofrecerte los mejores precios', '- Autorizados de la marca con garantía y factura, precios incluyen IVA !', '- Estamos ubicados por sector Quicentro Norte / Carolina', '- Horarios de atención: Lunes a Sábado']",['170'],['Intercomunicador Bluetooth Casco Lexin Et-com 1000m 2-pack']
"['- Muy transpirable, ultraligero y cómodo de llevar.', '- Fabricado en 100% poliéster de alta calidad, ofrece elasticidad y suavidad al tacto, aportando comodidad.', '- Cierre de Sin cordones', '- Se puede lavar a máquina, sin arrugas y de secado rápido.', '- Puede usarse como pasamontañas, máscara facial, polaina de cuello, bufanda, bandana, forro de casco, diadema o pulsera.', '- Ofrece protección UV, refrigeración en verano, es cortavientos, a prueba de polvo y arena, y absorbe el sudor.', '- Ideal para actividades al aire libre como esquí, snowboard, pesca, motociclismo, correr, escalada, senderismo y entrenamiento táctico.']",['2'],['Pasamontañas Nariz Unisex Mascara Transpirable Protector Uv']
"['Somos ""INTERCOMERCIOEC QUITO""', '****100% DE CLIENTES SATISFECHOS****', '****MÁS DE 8.000 TRANSACCIONES REALIZADAS****', '****LA SEGURIDAD DE TU COMPRA ESTÁ 100% GARANTIZADA****', '=======================================================================', 'DETALLE DEL PRODUCTO:', '- Lámina antiniebla para visor de casco universal de marco completo.', '- Antivaho duradero por más de 5 años.', '- Protege la visión y la piel de los ojos esterilizando los rayos UV.', '- Después de la lluvia ha sido húmedo, no reducirá el efecto antivaho, después de limpiarlo con un paño, se puede utilizar continuamente.', '- Adecuado para cascos completos, medio casco y cascos abiertos.', 'Material: PET especial.', 'Color: claro.', 'Tamaño (aprox.): 26cm x 9 cm.', 'Especificación: antivaho/lluvia.', 'Contenido del paquete:', '1 x película para casco de motocicleta antivaho/a prueba de lluvia.', '1 x paño antipolvo.', '1 x toallitas con alcohol.', '1 x pegatina de eliminación de polvo.', '1 x rascador pequeño.', '======================================================================', 'HORARIO DE ATENCIÓN:', 'De lunes a viernes 9h00 a 19h00, sábados 10h00 a 17h00 previa confirmación, domingos no abrimos.']",['9'],['2 Laminas Antiniebla Antivaho Para Lluvia Visor Casco Moto']
"['--------SOMOS NATURAL ECUADOR FITNESS TIENDA DEPORTIVA-------', 'Descripción:', '- Guantes VENUN Importados 12 onzas.', '- Ideales: para Sparring / Boxeo.', '- Protege de lesiones.', '- Minimiza el impacto de los golpes.', '- Mejora el agarre / Protege la muñeca.', '. -----Envíos a todo el Ecuador-----', 'Garantía del vendedor: 3 meses']",['31'],['Guantes De Boxeo Venum Importados']
['Motor 2200 W para moto/Scooter eléctrico Bat M7. Color: Negro. . Nuestros precios incluyen IVA (Código GFS: Acc_0240).'],['333'],['Motor 2200 W 120/70-12 Para Moto/scooter Eléctrico Bat M7']
"['Limpiaparabrisas universal para casco de motocicleta, compatible con la mayoría de las viseras.', 'Impermeable, limpiaparabrisas eléctrico, proporciona comodidad para tu viaje, resuelve el problema de montar en días lluviosos.', 'Adecuado para la mayoría de cascos de motocicleta y vehículos eléctricos.', 'Excelente material y diseño único que te hacen destacar en el camino.', 'Función: velocidad 2 ajustable, reinicio automático después de apagado, centro manual.', 'Garantía del vendedor: 6 meses']",['49'],['Limpia Parabrisas Eléctrico Para Casco De Moto']
"['Cargador 48V3A para la batería de plomo-ácido 48V12Ah', '. Nuestros precios incluyen IVA (Código GFS: Acc_0362).']",['50'],['Cargador Plomo 48v-3a-c-la Moto/scooter Eléctrico']
['El vendedor no incluyó una descripción del producto'],['20'],"['Defensa Cromada Tipo Harly Para Gn 125 ,lujo De Motos']"
